Model,MAE,MSE,RÂ²,X_scaler,y_scaler
GradientBoostingRegressor,362670248.6082956,8.964580102548014e+18,0.998653490713406,RobustScaler,PowerTransformer
NeuralNetwork,11097713691.104992,1.1153147858368386e+22,-3.9534908825099215,RobustScaler,RobustScaler
RandomForestRegressor,2507333604.4246726,3.798394578228404e+21,0.8641528049038533,Poly_RobustScaler,PowerTransformer
XGBoost,343851391.8441886,1.3539660225767561e+19,0.9994427015218468,RobustScaler,Multi_RobustScaler
Transformer,6439529893.38578,1.0351056995811494e+22,0.27032902596094605,RobustScaler,RobustScaler
StackingRegressor,4377268196.142763,9.553921781218987e+21,0.32514771473046666,RobustScaler,PowerTransformer
SupportVectorRegressor,90229935083.68033,6.632629538870612e+22,-0.4960044192028122,MinMaxScaler,Multi_MinMaxScaler
MultiTaskLasso,10028841972.652948,9.094514463624653e+21,0.576789894679312,Poly_RobustScaler,RobustScaler
BayesianRegression,12747250892.743088,1.1061425913593277e+22,-0.016695698449045202,FunctionalTransformer,PowerTransformer


